Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
07/11/1997;A Simple Wish;2732880;8165213;NULL;28000000;Original
12/11/2009;A Single Man;217332;9176000;19112672;7000000;Adapted
09/02/2005;A Sound of Thunder;917398;1900451;6300451;80000000;Adapted
09/18/1951;A Streetcar Named Desire;NULL;8000000;NULL;1800000;Adapted
04/03/1996;A Thin Line Between Love & Hate;9310414;34873513;NULL;8000000;Original
07/24/1996;A Time to Kill;14823159;108766007;152266007;40000000;Adapted
01/01/2014;A Turtle's Tale: Sammy's Adventures
;NULL;NULL;43810300;25000000;Original
11/04/2011;A Very Harold & Kumar 3D Christmas;12954142;35061031;NULL;20000000;Original
11/26/2004;A Very Long Engagement;101749;6167817;59606587;55000000;Adapted
05/24/1985;A View to a Kill;13294435;50327960;152627960;30000000;Adapted
03/26/1999;A Walk on the Moon;78709;4741987;NULL;14000000;Original
01/25/2002;A Walk to Remember;12177488;41227069;46060915;11000000;Adapted
06/29/2001;A.I. Artificial Intelligence;29352630;78616689;235900000;90000000;Adapted
10/18/2002;Abandon;5064077;10719367;12219367;25000000;Original
09/23/2011;Abduction;10925253;28087155;82087155;35000000;Original
05/17/2002;About a Boy;8557630;40803000;129949664;27000000;Adapted
12/13/2002;About Schmidt;282367;65005217;105823486;30000000;Adapted
02/14/1997;Absolute Power;16770220;50068310;NULL;50000000;Adapted
02/04/1994;Ace Ventura: Pet Detective;12115105;72217396;107217396;12000000;Original
11/10/1995;Ace Ventura: When Nature Calls;37804076;108360063;212400000;30000000;Original
09/14/2007;Across the Universe;667784;24343673;29367143;45000000;Original
02/24/2012;Act of Valor;24476632;67846473;NULL;12000000;Original
02/12/1988;Action Jackson;5424783;20257000;NULL;7000000;Original
07/29/2009;Adam;68377;2277396;2828590;3200000;Original
12/06/2002;Adaptation;384478;22498520;NULL;18500000;Adapted
04/03/2009;Adventureland;5722039;16044025;17144025;9800000;Original
12/02/2005;Aeon Flux;12661112;25857987;47953341;55000000;TV
11/12/2004;After the Sunset;11100392;28328132;38329114;57000000;Original
02/20/2004;Against the Ropes;3038546;5881504;6429865;39000000;Real Events
03/14/2003;Agent Cody Banks;14064317;47545060;58240458;25000000;Original
03/12/2004;Agent Cody Banks 2: Destination London;8014005;23514247;28703083;26000000;Original
05/28/2010;Agora;33262;619423;38992292;70000000;Original
08/11/2000;Aimee & Jaguar;42919;927107;NULL;6800000;Adapted
08/01/1997;Air Bud;4878632;24646936;27555061;3000000;Original
07/25/1997;Air Force One;37132505;172956409;315268353;85000000;Original
07/04/1980;Airplane!;NULL;83453539;NULL;3500000;Original
04/28/2006;Akeelah and the Bee;6011585;18848430;18948425;8000000;Original
04/27/2001;Akira;19585;19585;NULL;8000000;Comics
11/11/1992;Aladdin;196664;217350219;504050219;28000000;Original
12/31/2007;Alatriste;NULL;NULL;22860477;28000000;Adapted
01/17/1997;Albino Alligator;101176;353480;NULL;5000000;Original
06/20/2003;Alex & Emma;6111074;14208384;15358583;30000000;Original
10/13/2006;Alex Rider: Operation Stormbreaker;215177;659210;9351567;40000000;Adapted
11/24/2004;Alexander;13687087;34297191;167297191;155000000;Real Events
01/01/1938;Alexander's Ragtime Band;NULL;4000000;NULL;2000000;Original
11/05/2004;Alfie;6218335;13395939;35195939;40000000;Remake
12/25/2001;Ali;14710892;58183966;87683966;109000000;Real Events
07/28/1951;Alice in Wonderland;NULL;NULL;NULL;3000000;Adapted
03/05/2010;Alice in Wonderland;116101023;334191110;1024391110;200000000;Adapted
05/25/1979;Alien;3522581;80930630;203630630;9000000;Original
05/22/1992;Alien 3;23141188;54927174;158500000;55000000;Original
11/28/1997;Alien: Resurrection;16474092;47795018;160700000;60000000;Original
07/18/1986;Aliens;10052042;85160248;183316455;17000000;Original
07/31/2009;Aliens in the Attic;8008423;25200412;59551283;45000000;Original
01/15/1993;Alive;8624292;36299670;NULL;32000000;Adapted
03/08/2002;All About the Benjamins;10007291;25482931;25873145;14000000;Original
12/03/2010;All Good Things;37172;582024;645024;20000000;Original
10/25/2002;All or Nothing;25890;184255;NULL;9000000;Original
09/22/2006;All the King's Men;3672366;7221458;9521458;55000000;Adapted
12/25/2000;All the Pretty Horses;1304971;15527125;18120267;45000000;Adapted
10/25/2002;All the Queen's Men;15026;22723;22723;15000000;Original
02/14/2003;All the Real Girls;39417;549666;703020;1000000;Original
09/15/2000;Almost Famous;2314646;32522352;47371191;60000000;Original
01/28/2005;Alone in the Dark;2834421;5178569;8178569;20000000;Video Game
01/17/2007;Alone with Her;5555;10787;840787;1000000;Original
04/06/2001;Along Came a Spider;16712407;74058698;105159085;28000000;Adapted
01/16/2004;Along Came Polly;27721185;88073507;170360435;42000000;Original
09/17/2010;Alpha and Omega;9106906;25107267;47487697;20000000;Original
12/14/2007;Alvin and the Chipmunks;44307417;217326974;360578644;55000000;TV
12/23/2009;Alvin and the Chipmunks: The Squeakquel;48875415;219614612;443483213;70000000;TV
09/19/1984;Amadeus;505276;51973029;NULL;18000000;Adapted
10/23/2009;Amelia;3904047;14279575;19756077;40000000;Adapted
11/02/2001;Amélie;136470;33201661;174201661;10350000;Original
01/24/2003;Amen;16284;274299;NULL;14000000;Adapted
07/20/2001;America's Sweethearts;30181877;93607673;160648493;46000000;Original
09/15/1999;American Beauty;861531;130058047;356258047;15000000;Original
03/16/2001;American Desi;305054;902835;1366235;250000;Original
04/21/2006;American Dreamz;3667420;7314027;16510971;17000000;Original
11/02/2007;American Gangster;43565135;130164645;265697825;100000000;Real Events
08/11/1973;American Graffiti;NULL;115000000;140000000;777000;Original
10/30/1998;American History X;156076;6719864;NULL;10000000;Original
01/01/1987;American Ninja 2: The Confrontation;NULL;4000000;NULL;350000;Original
08/17/2001;American Outlaws;4855475;13264986;NULL;35000000;Original
07/09/1999;American Pie;18709680;101800948;234723148;12000000;Original
